customer_id,email,age,tenure_months,monthly_charges,annual_income,outstanding_debt,credit_score,support_tickets_90d,plan,contract_type,payment_method,region,churned
CUST100000,user0@example.com,49.0,25.6,50.38,41860.0,12479.0,644.0,0,premium,month-to-month,mailed_check,east,0
CUST100001,user1@example.com,41.0,4.6,85.57,33966.0,16476.0,581.0,1,family,one-year,mailed_check,east,1
CUST100002,user2@example.com,58.0,21.2,64.47,33228.0,9430.0,661.0,0,premium,one-year,bank_transfer,east,1
CUST100003,user3@example.com,40.0,44.5,31.94,40143.0,10628.0,787.0,2,family,one-year,e_check,west,1
CUST100004,user4@example.com,18.0,35.2,78.54,57216.0,4458.0,645.0,1,premium,month-to-month,credit_card,north,0
CUST100005,user5@example.com,44.0,16.9,97.55,33955.0,11704.0,783.0,4,basic,month-to-month,mailed_check,south,0
CUST100006,user6@example.com,53.0,1.4,65.55,38717.0,5111.0,641.0,0,premium,month-to-month,bank_transfer,north,0
CUST100007,user7@example.com,25.0,3.0,67.93,86744.0,38655.0,745.0,0,premium,one-year,mailed_check,east,0
CUST100008,user8@example.com,38.0,16.8,106.77,42137.0,14964.0,603.0,0,premium,month-to-month,mailed_check,north,1
CUST100009,user9@example.com,55.0,17.7,99.37,72611.0,9446.0,689.0,4,family,two-year,mailed_check,east,1
CUST100010,user10@example.com,52.0,19.1,83.65,56661.0,14666.0,741.0,1,premium,one-year,mailed_check,east,1
CUST100011,user11@example.com,40.0,12.7,105.61,74085.0,26920.0,717.0,3,premium,month-to-month,mailed_check,west,1
CUST100012,user12@example.com,33.0,69.7,99.37,59221.0,4677.0,792.0,0,family,month-to-month,credit_card,east,0
CUST100013,user13@example.com,42.0,37.0,67.08,55227.0,19394.0,850.0,2,standard,month-to-month,mailed_check,west,0
CUST100014,user14@example.com,45.0,13.9,79.69,48434.0,27823.0,530.0,2,standard,one-year,credit_card,east,1
CUST100015,user15@example.com,51.0,26.8,73.05,39124.0,11168.0,558.0,1,premium,month-to-month,bank_transfer,north,1
CUST100016,user16@example.com,40.0,30.4,119.49,60099.0,35702.0,535.0,0,premium,two-year,mailed_check,west,0
CUST100017,user17@example.com,60.0,36.9,80.79,44068.0,18553.0,804.0,1,premium,one-year,credit_card,south,0
CUST100018,user18@example.com,45.0,17.6,78.88,16051.0,3119.0,601.0,1,premium,two-year,mailed_check,west,0
CUST100019,user19@example.com,37.0,71.0,116.8,61923.0,14298.0,622.0,1,family,two-year,credit_card,north,0
CUST100020,user20@example.com,35.0,7.5,74.35,52872.0,8418.0,692.0,2,premium,month-to-month,e_check,north,1
CUST100021,user21@example.com,31.0,24.6,61.65,62567.0,4891.0,647.0,2,basic,two-year,mailed_check,east,0
CUST100022,user22@example.com,54.0,10.4,16.01,55003.0,11658.0,679.0,2,premium,month-to-month,bank_transfer,east,1
CUST100023,user23@example.com,39.0,17.6,59.29,70684.0,7091.0,602.0,1,premium,one-year,bank_transfer,west,1
CUST100024,user24@example.com,18.0,73.7,74.8,64021.0,16534.0,765.0,1,basic,month-to-month,mailed_check,north,1
CUST100025,user25@example.com,37.0,69.2,94.59,52445.0,25391.0,562.0,1,premium,two-year,credit_card,west,0
CUST100026,user26@example.com,56.0,23.6,69.85,62986.0,7788.0,642.0,0,premium,one-year,e_check,south,0
CUST100027,user27@example.com,36.0,24.3,48.44,81432.0,44385.0,671.0,2,family,month-to-month,e_check,west,1
CUST100028,user28@example.com,26.0,86.0,79.95,37978.0,13242.0,703.0,1,basic,month-to-month,bank_transfer,north,0
CUST100029,user29@example.com,36.0,21.8,25.86,15174.0,8360.0,681.0,0,standard,one-year,credit_card,east,0
CUST100030,user30@example.com,49.0,6.5,102.46,74026.0,17668.0,625.0,3,premium,two-year,e_check,north,0
CUST100031,user31@example.com,39.0,21.3,105.83,67299.0,13300.0,593.0,3,family,month-to-month,mailed_check,north,0
CUST100032,user32@example.com,30.0,29.9,26.19,110661.0,52803.0,789.0,1,premium,two-year,e_check,east,0
CUST100033,user33@example.com,49.0,13.7,48.89,57204.0,30093.0,545.0,2,family,one-year,bank_transfer,east,0
CUST100034,user34@example.com,55.0,9.2,78.84,49843.0,27299.0,717.0,2,standard,two-year,mailed_check,south,1
CUST100035,user35@example.com,59.0,0.9,114.06,64038.0,36914.0,551.0,1,standard,two-year,mailed_check,south,1
CUST100036,user36@example.com,44.0,16.0,68.71,72324.0,16618.0,687.0,0,family,two-year,credit_card,east,0
CUST100037,user37@example.com,40.0,32.8,79.77,67278.0,17952.0,726.0,0,premium,month-to-month,bank_transfer,south,1
CUST100038,user38@example.com,47.0,1.7,76.36,50436.0,27338.0,542.0,2,family,month-to-month,credit_card,west,1
CUST100039,user39@example.com,57.0,47.7,31.2,80678.0,47792.0,704.0,3,family,two-year,bank_transfer,west,0
CUST100040,user40@example.com,54.0,13.0,61.5,35493.0,9818.0,598.0,2,premium,one-year,credit_card,east,0
CUST100041,user41@example.com,41.0,2.3,51.04,41663.0,13988.0,464.0,3,basic,month-to-month,e_check,east,1
CUST100042,user42@example.com,30.0,38.6,75.89,86677.0,26803.0,714.0,1,premium,one-year,mailed_check,north,0
CUST100043,user43@example.com,45.0,41.3,52.93,68984.0,33612.0,565.0,1,premium,two-year,bank_transfer,east,1
CUST100044,user44@example.com,42.0,21.8,70.82,46616.0,20243.0,595.0,0,premium,month-to-month,bank_transfer,south,1
CUST100045,user45@example.com,47.0,11.7,68.7,57784.0,5939.0,532.0,0,premium,two-year,credit_card,west,0
CUST100046,user46@example.com,29.0,45.2,70.77,96422.0,22765.0,592.0,1,premium,month-to-month,credit_card,west,1
CUST100047,user47@example.com,34.0,24.2,96.7,50725.0,17143.0,762.0,2,premium,one-year,mailed_check,south,0
CUST100048,user48@example.com,52.0,28.5,79.66,41140.0,18593.0,792.0,0,premium,two-year,mailed_check,north,0
CUST100049,user49@example.com,44.0,19.4,63.9,56498.0,32496.0,582.0,0,premium,month-to-month,e_check,north,1
CUST100050,user50@example.com,28.0,34.0,82.43,72964.0,9256.0,635.0,0,premium,month-to-month,mailed_check,north,1
CUST100051,user51@example.com,57.0,54.5,56.47,62703.0,10599.0,670.0,0,standard,month-to-month,credit_card,east,0
CUST100052,user52@example.com,38.0,0.6,43.1,76248.0,4216.0,565.0,2,family,month-to-month,bank_transfer,east,1
CUST100053,user53@example.com,46.0,48.9,96.84,38350.0,4038.0,700.0,2,premium,one-year,bank_transfer,east,0
CUST100054,user54@example.com,36.0,38.3,53.56,31483.0,6742.0,763.0,3,family,two-year,bank_transfer,west,0
CUST100055,user55@example.com,45.0,3.8,44.71,77193.0,12026.0,551.0,3,standard,two-year,mailed_check,east,1
CUST100056,user56@example.com,57.0,1.2,107.98,32252.0,16231.0,758.0,2,basic,one-year,e_check,east,0
CUST100057,user57@example.com,58.0,2.6,91.98,32046.0,16026.0,553.0,2,basic,two-year,mailed_check,west,0
CUST100058,user58@example.com,60.0,13.2,65.4,40425.0,13588.0,626.0,1,premium,month-to-month,mailed_check,north,1
CUST100059,user59@example.com,36.0,2.7,92.32,36673.0,5246.0,850.0,1,family,one-year,bank_transfer,west,1
CUST100060,user60@example.com,49.0,31.1,58.39,42372.0,10827.0,799.0,2,family,one-year,e_check,east,0
CUST100061,user61@example.com,22.0,27.9,82.05,20668.0,2171.0,540.0,1,premium,one-year,e_check,north,0
CUST100062,user62@example.com,46.0,18.1,71.4,83053.0,16279.0,717.0,2,basic,month-to-month,mailed_check,south,0
CUST100063,user63@example.com,64.0,80.1,60.92,24404.0,14573.0,543.0,3,family,month-to-month,e_check,south,1
CUST100064,user64@example.com,27.0,3.5,76.48,100668.0,36263.0,691.0,0,premium,month-to-month,mailed_check,north,1
CUST100065,user65@example.com,32.0,19.1,42.01,71657.0,30537.0,617.0,2,premium,one-year,credit_card,south,0
CUST100066,user66@example.com,40.0,3.9,55.74,109919.0,51166.0,699.0,1,premium,month-to-month,bank_transfer,north,0
CUST100067,user67@example.com,39.0,4.4,18.72,40837.0,5749.0,676.0,2,premium,month-to-month,bank_transfer,west,1
CUST100068,user68@example.com,52.0,7.7,61.84,47076.0,25449.0,669.0,1,premium,month-to-month,bank_transfer,south,0
CUST100069,user69@example.com,51.0,1.4,76.35,82829.0,48337.0,634.0,1,basic,month-to-month,mailed_check,north,1
CUST100070,user70@example.com,18.0,16.3,33.94,35583.0,13410.0,829.0,3,premium,month-to-month,credit_card,north,1
CUST100071,user71@example.com,29.0,20.1,79.52,71995.0,18363.0,611.0,1,premium,one-year,bank_transfer,north,0
CUST100072,user72@example.com,40.0,13.5,15.06,53706.0,29232.0,597.0,1,standard,two-year,mailed_check,south,0
CUST100073,user73@example.com,35.0,19.2,55.28,74722.0,27775.0,775.0,2,standard,two-year,bank_transfer,west,0
CUST100074,user74@example.com,46.0,16.7,67.53,83249.0,47351.0,567.0,2,standard,two-year,mailed_check,west,0
CUST100075,user75@example.com,47.0,8.1,69.46,45124.0,15239.0,731.0,1,premium,month-to-month,e_check,west,0
CUST100076,user76@example.com,18.0,8.2,75.81,40079.0,8161.0,625.0,2,premium,two-year,e_check,west,0
CUST100077,user77@example.com,38.0,46.3,28.55,29700.0,2574.0,582.0,2,standard,one-year,credit_card,north,0
CUST100078,user78@example.com,32.0,10.0,74.15,26227.0,3538.0,741.0,0,premium,month-to-month,e_check,east,0
CUST100079,user79@example.com,43.0,40.8,87.0,44738.0,10295.0,674.0,1,premium,month-to-month,mailed_check,north,0
CUST100080,user80@example.com,50.0,18.3,58.82,55631.0,26355.0,656.0,4,premium,one-year,credit_card,north,0
CUST100081,user81@example.com,39.0,1.6,63.97,44358.0,12718.0,665.0,0,premium,month-to-month,mailed_check,west,0
