customer_id,email,age,tenure_months,monthly_charges,annual_income,outstanding_debt,credit_score,support_tickets_90d,plan,contract_type,payment_method,region,churned,last_invoice_status
CUST100000,user0@example.com,46.0,25.0,50.1,54485.0,13919.0,526.0,4,standard,month-to-month,credit_card,west,1,unpaid
CUST100001,user1@example.com,30.0,15.8,72.44,71457.0,18936.0,665.0,0,premium,one-year,credit_card,west,1,overdue
CUST100002,user2@example.com,51.0,6.6,98.56,37530.0,17839.0,659.0,1,standard,month-to-month,mailed_check,north,1,unpaid
CUST100003,user3@example.com,53.0,21.4,100.8,40346.0,2208.0,796.0,1,standard,month-to-month,mailed_check,west,1,overdue
CUST100004,user4@example.com,19.0,3.0,103.19,63152.0,29694.0,775.0,2,basic,month-to-month,credit_card,east,1,overdue
CUST100005,user5@example.com,26.0,1.5,77.14,49417.0,17048.0,629.0,0,basic,month-to-month,credit_card,south,1,overdue
CUST100006,user6@example.com,44.0,60.4,70.79,54723.0,23739.0,585.0,0,basic,month-to-month,e_check,north,0,paid
CUST100007,user7@example.com,38.0,6.7,58.78,51717.0,17071.0,,1,standard,month-to-month,bank_transfer,north,1,overdue
CUST100008,user8@example.com,42.0,55.8,24.81,80069.0,38825.0,626.0,0,standard,month-to-month,credit_card,east,0,paid
CUST100009,user9@example.com,32.0,4.3,36.38,81111.0,23554.0,754.0,2,basic,month-to-month,e_check,west,1,overdue
CUST100010,user10@example.com,53.0,7.2,65.8,42477.0,10203.0,683.0,1,family,month-to-month,bank_transfer,north,1,overdue
CUST100011,user11@example.com,51.0,5.0,67.29,19803.0,7923.0,691.0,4,standard,month-to-month,credit_card,east,0,paid
CUST100012,user12@example.com,43.0,13.0,105.31,40770.0,12005.0,715.0,0,family,one-year,bank_transfer,north,1,unpaid
CUST100013,user13@example.com,56.0,46.7,102.87,37061.0,8038.0,570.0,1,standard,month-to-month,credit_card,north,1,overdue
CUST100014,user14@example.com,48.0,56.5,52.84,71635.0,39575.0,593.0,3,standard,month-to-month,mailed_check,north,1,unpaid
CUST100015,user15@example.com,32.0,16.0,90.46,73410.0,32873.0,692.0,3,basic,month-to-month,bank_transfer,west,0,paid
CUST100016,user16@example.com,46.0,26.6,58.07,34379.0,5442.0,588.0,2,family,month-to-month,e_check,south,0,paid
CUST100017,user17@example.com,30.0,2.4,87.07,39910.0,18241.0,528.0,3,basic,month-to-month,bank_transfer,east,1,overdue
CUST100018,user18@example.com,53.0,2.2,90.15,25420.0,4800.0,563.0,0,basic,one-year,mailed_check,north,1,overdue
CUST100019,user19@example.com,41.0,39.9,101.05,57688.0,16568.0,734.0,2,standard,month-to-month,credit_card,east,0,paid
CUST100020,user20@example.com,40.0,12.5,57.68,54102.0,9175.0,620.0,1,basic,one-year,credit_card,east,1,overdue
CUST100021,user21@example.com,34.0,34.0,95.36,70782.0,7950.0,668.0,2,premium,month-to-month,mailed_check,south,0,paid
CUST100022,user22@example.com,57.0,13.0,23.18,64943.0,17501.0,567.0,1,basic,month-to-month,bank_transfer,east,1,unpaid
CUST100023,user23@example.com,40.0,18.5,102.41,67204.0,23877.0,680.0,0,basic,month-to-month,bank_transfer,north,0,paid
CUST100024,user24@example.com,37.0,23.3,69.37,24160.0,5223.0,628.0,1,basic,month-to-month,bank_transfer,south,1,overdue
CUST100025,user25@example.com,38.0,14.7,69.91,42473.0,3876.0,686.0,1,basic,one-year,credit_card,east,1,overdue
CUST100026,user26@example.com,48.0,12.1,19.06,73978.0,13856.0,612.0,3,premium,one-year,mailed_check,north,1,overdue
CUST100027,user27@example.com,46.0,12.0,60.28,44228.0,8187.0,690.0,0,family,month-to-month,e_check,south,1,overdue
